z, massflux, p, T, rho, M, alpha, dS, P_tot, T_tot
0.0517658862876, 83.8400125214, 132538.415095, 294.938935492, 1.56531885703, 0.468312896032, -70.3820893027, 1.4620132576, 152917.288254, 307.918848297
0.0525986622074, 83.8432571992, 132523.432299, 294.929645615, 1.56518931396, 0.468363134703, -70.3471220564, 1.46344685525, 152914.63762, 307.919464108
0.0534314381271, 83.8401681275, 132497.107187, 294.912793155, 1.56496449426, 0.468484884722, -70.2946772164, 1.46413339779, 152909.990618, 307.919874214
0.0542642140468, 83.8412680243, 132454.439745, 294.885380159, 1.56460073288, 0.468723769141, -70.2138402731, 1.46489185651, 152902.203273, 307.920106358
0.0550969899666, 83.8406361239, 132390.195674, 294.843997568, 1.56405366775, 0.46912529752, -70.0941075873, 1.46566424374, 152890.23918, 307.920059345
0.0559297658863, 83.8385712306, 132296.925163, 294.783638074, 1.56326102906, 0.469766684485, -69.9180986177, 1.46580420107, 152873.5226, 307.919968357
0.056762541806, 83.8381340054, 132165.260789, 294.698039721, 1.56214404288, 0.470748937066, -69.6600239823, 1.46470396675, 152851.412266, 307.920261006
0.0575953177258, 83.8307426594, 131979.948595, 294.578615583, 1.56056616385, 0.47219741938, -69.2802090934, 1.46682825854, 152819.382584, 307.921019892
0.0584280936455, 83.8323719556, 131725.701839, 294.412963, 1.55840964266, 0.474277295093, -68.700368688, 1.46398443117, 152776.819871, 307.921124506
0.0592608695652, 83.8411920761, 131375.18917, 294.187773515, 1.55541724414, 0.477169662627, -68.4397604226, 1.47181934743, 152709.92064, 307.919494183
0.0600936454849, 93.3580871755, 131130.379137, 294.041985973, 1.55327578261, 0.476687300336, -66.9572042166, 1.51494816332, 152439.774614, 307.784834017
0.0609264214047, 98.7538339868, 131013.961498, 293.972527861, 1.55227075377, 0.473529038779, -65.5294554083, 1.5304101322, 152051.937137, 307.550018824
0.0617591973244, 102.699851414, 130912.413207, 293.912730367, 1.55139353969, 0.47056922438, -64.4438191285, 1.54528170763, 151682.620501, 307.323826515
0.0625919732441, 105.899498975, 130819.017125, 293.85757706, 1.5505866955, 0.46781708082, -63.4490719135, 1.55867348226, 151332.996955, 307.108636618
0.0634247491639, 108.599750963, 130732.465771, 293.806433623, 1.54983688636, 0.465027776291, -62.5211557287, 1.57169364389, 150986.504375, 306.894807591
0.0642575250836, 110.918884388, 130652.276013, 293.758690208, 1.54914120805, 0.462055028268, -61.6379760522, 1.58354205241, 150632.250094, 306.675301698
0.0650903010033, 112.92073064, 130578.381122, 293.714882306, 1.54849666009, 0.458793552761, -60.7808856575, 1.59600102169, 150261.568502, 306.444956496
0.0659230769231, 114.641290389, 130513.403998, 293.676434752, 1.54792800435, 0.455156583571, -59.9385583208, 1.60769541283, 149870.236585, 306.200175643
0.0667558528428, 116.11437709, 130458.237681, 293.644234722, 1.54744223978, 0.451121114532, -59.1052142202, 1.6194320454, 149457.685279, 305.940577426
0.0675886287625, 117.381047002, 130414.388928, 293.618808575, 1.54705554878, 0.446694858165, -58.2775044898, 1.62920861953, 149027.066904, 305.667369444
0.0684214046823, 118.462611969, 130380.546332, 293.600308472, 1.54675249273, 0.441941794304, -57.4599478651, 1.64019983776, 148583.151192, 305.384638628
0.069254180602, 119.375526367, 130355.780023, 293.587339922, 1.54652925016, 0.436944497724, -56.6564912387, 1.64960516573, 148133.360229, 305.096604369
0.0700869565217, 120.132518882, 130338.163346, 293.579005314, 1.5463675821, 0.431750358414, -55.8690009368, 1.65871219516, 147680.566762, 304.805792454
0.0709197324415, 120.747133968, 130326.02229, 293.574499551, 1.54625169052, 0.426414621382, -55.0994478469, 1.66850719321, 147228.617345, 304.515274651
0.0717525083612, 121.247104817, 130315.000382, 293.570127299, 1.54614850403, 0.421042218416, -54.3456314081, 1.67616114626, 146782.130718, 304.227730705
0.0725852842809, 121.659434661, 130299.693441, 293.562863764, 1.54600884644, 0.415705215862, -53.6017308555, 1.68364758755, 146341.045854, 303.944174661
0.0734180602007, 122.005166756, 130276.284272, 293.550314429, 1.54579935792, 0.410433769419, -52.8593345699, 1.6914339097, 145903.311182, 303.663671344
0.0742508361204, 122.302278578, 130242.486131, 293.530634809, 1.54550223653, 0.405242704012, -52.1103368989, 1.69836627189, 145467.276698, 303.38489502
0.0750836120401, 122.556052544, 130197.041937, 293.503504892, 1.54510423966, 0.400099432095, -51.3471875209, 1.70615964583, 145028.435163, 303.105363264
0.0759163879599, 122.771376973, 130141.829126, 293.469685841, 1.54462407729, 0.394960299762, -50.5650761693, 1.71308627851, 144585.19424, 302.823269815
0.0767491638796, 122.95974137, 130075.659579, 293.428772297, 1.54404988001, 0.38983044496, -49.7607642381, 1.72037153542, 144136.604466, 302.53836179
