X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
0.123946488294, 123653.949457, 289.146069981, 0.204254849385, -10.7194451629, 1.39323014999, 100.919346517, 67.9848389589, 127270.290307, 291.561974765
0.124782608696, 123599.167516, 289.136085502, 0.204677742892, -10.6972513699, 1.4857416437, 101.091848702, 68.1314735897, 127228.982569, 291.561989514
0.125618729097, 123544.572516, 289.126135143, 0.205099191306, -10.675133251, 1.57793761693, 101.264349632, 68.2776071893, 127187.815709, 291.562004205
0.126454849498, 123550.573437, 289.127700228, 0.205031904753, -10.6826185885, 1.56942476945, 101.231555019, 68.2531763302, 127191.615141, 291.561992956
0.1272909699, 123585.883996, 289.134836575, 0.204728161551, -10.7044378762, 1.5122047417, 101.099520265, 68.1462208732, 127217.162237, 291.56196914
0.128127090301, 123621.286802, 289.141991541, 0.204423625853, -10.7263142884, 1.45483514795, 100.967485891, 68.0389862841, 127242.776116, 291.561945268
0.128963210702, 123618.346762, 289.140552355, 0.204484332695, -10.7236300589, 1.45665846502, 100.996023572, 68.0604457794, 127241.935394, 291.561952506
0.129799331104, 123596.785009, 289.134941387, 0.204722337145, -10.7090195049, 1.48723685579, 101.102579177, 68.1443764541, 127228.243466, 291.561974833
0.130635451505, 123575.268704, 289.129342295, 0.204959837838, -10.6944395449, 1.51775096599, 101.209134003, 68.2281296014, 127214.580317, 291.561997109
0.131471571906, 123575.403061, 289.131166035, 0.204881422775, -10.6643610241, 1.52377132273, 101.183188467, 68.2105864635, 127211.948221, 291.56198562
0.132307692308, 123586.117897, 289.136621076, 0.204648457765, -10.626642652, 1.51783510541, 101.092500464, 68.1435047696, 127214.701089, 291.561957614
0.133143812709, 123596.852014, 289.142085883, 0.20441507567, -10.588856021, 1.51188803057, 101.001813222, 68.0763033415, 127217.458996, 291.561929564
0.13397993311, 123574.298732, 289.133934649, 0.204768003149, -10.7920473, 1.53596691155, 101.063784456, 68.1294859616, 127206.566853, 291.561950575
0.134816053512, 123535.478894, 289.119126561, 0.205407571055, -11.1128875577, 1.57470778364, 101.200728008, 68.2415758405, 127189.00908, 291.561995589
0.135652173913, 123382.625239, 288.992489863, 0.210611375307, -10.4373755189, 1.49005067768, 103.901740937, 70.1683045798, 127221.718451, 291.561617458
0.136488294314, 123208.787048, 288.843966727, 0.216706487509, -9.54141418329, 1.37814625786, 107.308903532, 72.4573891382, 127265.627197, 291.561150899
0.137324414716, 122818.485679, 288.59923019, 0.226149187703, -8.39541877994, 1.43837751336, 111.978131747, 75.8927242255, 127228.585094, 291.560524473
0.138160535117, 122435.278258, 288.362957255, 0.235228286796, -7.3094324958, 1.51161006, 116.791499973, 79.1884975282, 127186.078611, 291.559928585
0.138996655518, 122117.305491, 288.149237553, 0.242959058666, -6.21898167481, 1.51362063868, 120.642317691, 81.9863247679, 127174.987578, 291.559351309
0.13983277592, 121823.561317, 287.949055983, 0.250131431839, -5.18219227901, 1.5063439858, 124.355249498, 84.5807743958, 127168.500648, 291.558805211
0.140668896321, 121551.828805, 287.770223109, 0.256314361534, -4.13069477825, 1.52339169112, 127.433616085, 86.7988831242, 127151.723869, 291.558371877
0.141505016722, 121294.633699, 287.603963909, 0.261952464452, -3.09169703599, 1.55078848728, 130.211939739, 88.8121694016, 127130.741471, 291.557995774
